"normalizedAction","rule_id","rule_name","mapping_id","mapping_name"
"logon","MATCH-S00685","Authentication Without MFA","f131912a-c995-44e0-b94d-cceeedef5fb2","LastPass - Account Created"
"logon","MATCH-S00685","Authentication Without MFA","d3fad8c1-3193-4879-870e-94fdeeaeef11","LastPass - Folder Permissions Updated"
"logon","MATCH-S00685","Authentication Without MFA","89f51b00-900d-4619-b451-615249c23b27","LastPass - Master Password Changed"
"logon","MATCH-S00685","Authentication Without MFA","b6abd358-d7de-4210-9680-700970725f8a","LastPass - Password Changed"
"logon","MATCH-S00685","Authentication Without MFA","927bc9a6-d62a-4c17-bc0e-f6ff601f51ed","LastPass - Super Admin Password Reset"
"logon","MATCH-S00685","Authentication Without MFA","17e4bad6-e477-43fc-9d31-3d72ac9e5970","LastPass - Personal Share"
"logon","MATCH-S00685","Authentication Without MFA","ecf38378-032f-4424-bc3f-2b7014f58694","LastPass - Policy Modifications"
"logon","MATCH-S00685","Authentication Without MFA","b40f0d69-d076-4bac-a1f2-900cc4dc1fc3","LastPass - Shared Folder Created"
"logon","MATCH-S00685","Authentication Without MFA","4b26f2f7-58d0-4e03-b098-af90bde8958b","LastPass - Failed Login"
"logon","MATCH-S00685","Authentication Without MFA","998e3545-c634-4b78-b526-15a9a795d090","LastPass - Login"
"logon","MATCH-S00685","Authentication Without MFA","068cb1b6-3f1d-4f03-906f-cc240d3bdf83","LastPass Failed Login Attempt"
"logon","MATCH-S00685","Authentication Without MFA","60eb70e7-50fb-479a-b60a-097e52be7628","Box - LOGIN"
"logon","MATCH-S00685","Authentication Without MFA","1ed1f22f-9151-41ab-a019-b81410b40f37","Box - ADMIN_LOGIN"
"logon","MATCH-S00685","Authentication Without MFA","a4937e9a-8a77-4390-9a68-63fecfdcb592","Box - FAILED_LOGIN"
"logon","MATCH-S00685","Authentication Without MFA","634432ec-9d62-4627-b094-ff8c916b5e7a","OpenVPN Authentication Attempt"
